,Id,ActivityDay,Calories,StepTotal,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
0,1503960366,2016-04-12,1985,13162,1,327,346
1,1503960366,2016-04-13,1797,10735,2,384,407
2,1503960366,2016-04-15,1745,9762,1,412,442
3,1503960366,2016-04-16,1863,12669,2,340,367
4,1503960366,2016-04-17,1728,9705,1,700,712
5,1503960366,2016-04-19,2035,15506,1,304,320
6,1503960366,2016-04-20,1786,10544,1,360,377
7,1503960366,2016-04-21,1775,9819,1,325,364
8,1503960366,2016-04-23,1949,14371,1,361,384
9,1503960366,2016-04-24,1788,10039,1,430,449
10,1503960366,2016-04-25,2013,15355,1,277,323
11,1503960366,2016-04-26,1970,13755,1,245,274
12,1503960366,2016-04-28,1898,13154,1,366,393
13,1503960366,2016-04-29,1837,11181,1,341,354
14,1503960366,2016-04-30,1947,14673,1,404,425
15,1503960366,2016-05-01,1820,10602,1,369,396
16,1503960366,2016-05-02,2004,14727,1,277,309
17,1503960366,2016-05-03,1990,15103,1,273,296
18,1503960366,2016-05-05,1959,14070,1,247,264
19,1503960366,2016-05-06,1896,12159,1,334,367
20,1503960366,2016-05-07,1821,11992,1,331,349
21,1503960366,2016-05-08,1740,10060,1,594,611
22,1503960366,2016-05-09,1819,12022,1,338,342
23,1503960366,2016-05-10,1859,12207,1,383,403
24,1503960366,2016-05-11,1783,12770,1,285,306
25,1644430081,2016-04-29,2498,3176,1,119,127
26,1644430081,2016-04-30,3846,18213,1,124,142
27,1644430081,2016-05-02,2580,3758,1,796,961
28,1644430081,2016-05-08,2987,6724,1,137,154
29,1844505072,2016-04-15,1725,3844,1,644,961
30,1844505072,2016-04-30,1763,4014,1,722,961
31,1844505072,2016-05-01,1541,2573,1,590,961
32,1927972279,2016-04-12,2220,678,3,750,775
33,1927972279,2016-04-13,2151,356,1,398,422
34,1927972279,2016-04-15,2221,980,2,475,499
35,1927972279,2016-04-26,2638,3761,1,296,315
36,1927972279,2016-04-28,2351,1675,1,166,178
37,2026352035,2016-04-12,1459,4414,1,503,546
38,2026352035,2016-04-13,1521,4993,1,531,565
39,2026352035,2016-04-14,1431,3335,1,545,568
40,2026352035,2016-04-15,1444,3821,1,523,573
41,2026352035,2016-04-16,1373,2547,1,524,567
